2023-07-15 22:00:34 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-07-15 22:00:34 [main] INFO  c.l.c.g.CrushGatewayApplication - Starting CrushGatewayApplication using Java 17.0.7 with PID 17532 (/Users/lc/Learn/workplaces/crush-chat/crush-gateway/target/classes started by lc in /Users/lc/Learn/workplaces/crush-chat)
2023-07-15 22:00:34 [main] INFO  c.l.c.g.CrushGatewayApplication - The following 1 profile is active: "dev"
2023-07-15 22:00:34 [main] INFO  c.a.c.n.c.NacosConfigDataLoader - [Nacos Config] Load config[dataId=crush-gateway.yml, group=DEFAULT_GROUP] success
2023-07-15 22:00:34 [main] INFO  c.a.c.n.c.NacosConfigDataLoader - [Nacos Config] Load config[dataId=application-common.yml, group=DEFAULT_GROUP] success
2023-07-15 22:00:35 [main] INFO  c.l.c.c.json.config.JacksonConfig - 初始化 jackson 配置
2023-07-15 22:00:36 [main] INFO  c.l.c.c.r.config.RedisConfiguration - 初始化 redis 配置
2023-07-15 22:00:36 [main] INFO  org.redisson.Version - Redisson 3.20.1
2023-07-15 22:00:36 [redisson-netty-3-7] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2023-07-15 22:00:36 [redisson-netty-3-4] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for localhost/127.0.0.1:6379
2023-07-15 22:00:37 [main] INFO  c.a.c.n.r.NacosServiceRegistry - nacos registry, DEFAULT_GROUP crush-gateway 192.168.3.90:8080 register finished
2023-07-15 22:00:37 [main] INFO  c.a.c.n.d.GatewayLocatorHeartBeatPublisher - Start nacos gateway locator heartBeat task scheduler.
2023-07-15 22:00:37 [main] INFO  c.l.c.g.CrushGatewayApplication - Started CrushGatewayApplication in 3.833 seconds (process running for 4.285)
2023-07-15 22:00:37 [main] INFO  c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=application-common.yml, group=DEFAULT_GROUP
2023-07-15 22:00:37 [main] INFO  c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=crush-gateway.yml, group=DEFAULT_GROUP
2023-07-15 22:34:19 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - De-registering from Nacos Server now...
2023-07-15 22:34:19 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - De-registration finished.
